Fecha;TipoPrecio;Compsite
07/07/2024;Diario;59.05666667
08/07/2024;Diario;58.28333333
09/07/2024;Diario;59.61666667
10/07/2024;Diario;57.17
11/07/2024;Diario;57.45
08/07/2024;Semana28;73.6625
15/07/2024;Semana29;73.6625
22/07/2024;Semana30;73.6625
29/07/2024;Semana31;73.8
01/08/2024;Mes1;74.6275
01/09/2024;Mes2;77.6775
01/10/2024;Mes3;73.425
01/11/2024;Mes4;83.9125
01/12/2024;Mes5;86.455
01/01/2025;Mes6;87.1
27/09/2024;Quaterly;79.93
27/12/2024;Quaterly;70.2
28/03/2025;Quaterly;51.8575
27/06/2025;Quaterly;58.9125
26/09/2025;Quaterly;69.28
29/12/2025;Quaterly;95.13
27/12/2024;Año;66.79
29/12/2025;Año;54.1
