Año;Mes;PrecioBase
2024;1;85.75
2024;2;50.55
2024;3;34.21
2024;4;32.3
2024;5;45.42
2024;6;69.79
2023;1;89.68
2023;2;142.91
2023;3;102.79
2023;4;84.87
2023;5;84.26
2023;6;88.3
2023;7;98.59
2023;8;104.7
2023;9;112.41
2023;10;104.3
2023;11;80.05
2023;12;85.38
2022;1;210.07
2022;2;205.9
2022;3;294.53
2022;4;203.03
2022;5;195.75
2022;6;203.27
2022;7;216.52
2022;8;250.89
2022;9;216.27
2022;10;161.29
2022;11;131.9
2022;12;145.96
2021;6;87.23
2021;7;96.41
2021;8;111.34
2021;9;160.71
2021;10;209.29
2021;11;203.8
2021;12;252.19
